"seq_unique","IGHM","IGHA1","IGHG1","NA"
"seq1",2,0,0,0
"seq10",0,1,0,0
"seq11",0,1,0,0
"seq12",0,1,0,0
"seq13",0,1,0,0
"seq14",0,1,0,0
"seq15",0,1,0,0
"seq16",0,1,0,0
"seq17",0,0,1,0
"seq18",0,1,0,0
"seq19",0,1,0,0
"seq2",0,1,0,0
"seq20",0,1,0,0
"seq21",0,1,0,0
"seq22",0,1,0,0
"seq23",0,1,0,0
"seq24",0,1,0,0
"seq25",0,0,0,1
"seq26",0,1,0,0
"seq27",0,0,1,0
"seq3",0,6,0,0
"seq4",0,0,1,0
"seq5",0,1,0,0
"seq6",0,0,1,0
"seq7",0,1,0,0
"seq8",0,1,0,0
"seq9",0,1,0,0
