"seq_unique","HH117-SI-MILF-nonINF","HH117-SI-PP-nonINF_Fol-1","HH117-SI-PP-nonINF_Fol-8"
"seq1",2,0,0
"seq10",0,1,0
"seq2",0,1,0
"seq3",0,4,0
"seq4",0,1,0
"seq5",0,2,0
"seq6",0,1,0
"seq7",0,0,1
"seq8",0,2,0
"seq9",0,0,1
