seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-6,1,1,11
seq10,sequence_19,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-15,1,5,3
seq11,sequence_20,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-15,1,5,3
seq12,sequence_22,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-16,1,5,4
seq13,sequence_23,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-15,1,5,3
seq14,sequence_25:sequence_27,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-15,1,5,3
seq15,sequence_26,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-14,1,1,2
seq16,sequence_31,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-15,1,5,3
seq17,sequence_32,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-19,1,5,7
seq18,sequence_33,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-17,1,5,5
seq19,sequence_36,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-15,1,5,3
seq2,sequence_2,GC_B_cells,IGHA2,HH153-SI-PP-nonINF_Fol-6,1,3,11
seq20,sequence_39,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-17,1,5,5
seq21,sequence_41,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-15,1,5,3
seq22,sequence_44,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-15,1,1,3
seq23,sequence_45,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-19,1,5,7
seq24,sequence_47,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-15,1,5,3
seq25,sequence_48,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-15,1,5,3
seq26,sequence_49,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-15,1,5,3
seq27,sequence_52,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-15,1,1,3
seq28,sequence_54,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-16,1,5,4
seq29,sequence_55,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-15,1,5,3
seq3,sequence_3,GC_B_cells,IGHA2,HH153-SI-PP-nonINF_Fol-4,1,3,10
seq30,sequence_56,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-15,1,5,3
seq31,sequence_57,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-15,1,5,3
seq32,sequence_59,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-15,1,5,3
seq33,sequence_60,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-15,1,5,3
seq34,sequence_61,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-19,1,5,7
seq35,sequence_64,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-19,1,5,7
seq36,sequence_65,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-17,1,5,5
seq37,sequence_66,PCs,IGHM/D,HH153-SILP-nonINF,3,5,1
seq38,sequence_67:sequence_68:sequence_69:sequence_70:sequence_72:sequence_73:sequence_74,PCs,IGHM/D,HH153-SILP-nonINF,3,5,1
seq39,sequence_71:sequence_76,PCs,IGHM/D,HH153-SILP-nonINF,3,5,1
seq4,sequence_4:sequence_5:sequence_6:sequence_8,GC_B_cells,IGHA1:IGHA2,HH153-SI-PP-nonINF_Fol-3,1,2,9
seq40,sequence_75,PCs,IGHM/D,HH153-SILP-nonINF,3,5,1
seq5,sequence_7:sequence_9:sequence_10:sequence_13:sequence_15:sequence_17:sequence_18:sequence_21:sequence_24:sequence_28:sequence_29:sequence_30:sequence_34:sequence_35:sequence_37:sequence_38:sequence_40:sequence_42:sequence_43:sequence_46:sequence_50:sequence_51:sequence_53:sequence_58:sequence_62:sequence_63:sequence_77:sequence_78,GC_B_cells:PCs,IGHA2:IGHM/D:IGHA1,HH153-SI-PP-nonINF_Fol-1:HH153-SI-PP-nonINF_Fol-6:HH153-SI-PP-nonINF_Fol-16:HH153-SI-PP-nonINF_Fol-15:HH153-SI-PP-nonINF_Fol-19:HH153-SI-PP-nonINF_Fol-14:HH153-SILP-nonINF,2,4,8
seq6,sequence_11,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-18,1,1,6
seq7,sequence_12,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-19,1,5,7
seq8,sequence_14,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-19,1,5,7
seq9,sequence_16,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-15,1,5,3
