seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1:sequence_2:sequence_3:sequence_4:sequence_9:sequence_11:sequence_13:sequence_14:sequence_16:sequence_17:sequence_19:sequence_21:sequence_23:sequence_25:sequence_26:sequence_28:sequence_30:sequence_31:sequence_32:sequence_35:sequence_37:sequence_39:sequence_42:sequence_45:sequence_49:sequence_51:sequence_52:sequence_53:sequence_54:sequence_57:sequence_59,GC_B_cells:PCs,IGHA1:IGHA2,HH153-SI-PP-nonINF_Fol-9:HH153-SI-PP-nonINF_Fol-5:HH153-SI-PP-nonINF_Fol-3:HH153-SI-PP-nonINF_Fol-1:HH153-SI-PP-nonINF_Fol-2:HH153-SI-PP-nonINF_Fol-11:HH153-SI-PP-nonINF_Fol-16:HH153-SI-PP-nonINF_Fol-13:HH153-SI-PP-nonINF_Fol-15:HH153-SILP-INF:HH153-SILP-nonINF,2,2,10
seq10,sequence_20,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-9,1,1,9
seq11,sequence_22,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-3,1,1,8
seq12,sequence_24,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-9,1,1,9
seq13,sequence_27,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-9,1,1,9
seq14,sequence_29:sequence_46,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-13,1,1,4
seq15,sequence_33,GC_B_cells,IGHG1,HH153-SI-PP-nonINF_Fol-18,1,4,6
seq16,sequence_34,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-11,1,1,3
seq17,sequence_36,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-16,1,5,5
seq18,sequence_38,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-11,1,1,3
seq19,sequence_40,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-19,1,1,7
seq2,sequence_5,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-9,1,1,9
seq20,sequence_41,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-11,1,1,3
seq21,sequence_43,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-11,1,1,3
seq22,sequence_44,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-13,1,1,4
seq23,sequence_47,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-11,1,1,3
seq24,sequence_48,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-11,1,1,3
seq25,sequence_50,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-11,1,5,3
seq26,sequence_55:sequence_58,PCs,IGHA2:NA,HH153-SILP-nonINF,3,3,1
seq27,sequence_56,PCs,IGHM/D,HH153-SILP-nonINF,3,5,1
seq3,sequence_6,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-9,1,1,9
seq4,sequence_7,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-9,1,1,9
seq5,sequence_8,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-9,1,1,9
seq6,sequence_10,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-9,1,1,9
seq7,sequence_12,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-9,1,1,9
seq8,sequence_15,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-9,1,1,9
seq9,sequence_18,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-1,1,1,2
