ancestor_celltype	node_celltype	n_clones	clone_nrs	clones
PCs_SI-PP	GC_B_cells_SI-PP	5	2, 3, 5, 7, 8	11978_1, 14912_1, 27035_1, 8286_1, 8625_1
GC_B_cells_SI-PP	PCs_SI-PP	4	2, 3, 5, 7	11978_1, 14912_1, 27035_1, 8286_1
PCs_SILP	GC_B_cells_SI-PP	4	2, 5, 7, 8	14912_1, 27035_1, 8286_1, 8625_1
PCs_SILP	PCs_SI-PP	3	2, 5, 8	14912_1, 27035_1, 8625_1
PCs_SI-PP	Memory_Bcells_SI-PP	1	3	11978_1
PCs_SILP	Memory_Bcells_SI-MILF	1	5	14912_1
