ancestor_celltype	node_celltype	n_clones	clone_nrs	clones
GC_B_cells_SI-PP	PCs_SI-PP	8	2, 3, 5, 7, 11, 13, 17, 19	10599_1, 11978_1, 14912_1, 25709_1, 27035_1, 8286_1, 8374_1, 8576_1
PCs_SI-PP	GC_B_cells_SI-PP	8	2, 3, 5, 7, 8, 11, 13, 19	10599_1, 11978_1, 14912_1, 27035_1, 8286_1, 8374_1, 8576_1, 8625_1
PCs_SILP	GC_B_cells_SI-PP	5	2, 5, 7, 8, 18	14912_1, 26412_1, 27035_1, 8286_1, 8625_1
PCs_SILP	PCs_SI-PP	3	2, 5, 8	14912_1, 27035_1, 8625_1
PCs_SI-PP	Memory_Bcells_SI-PP	1	3	11978_1
PCs_SILP	Memory_Bcells_SI-MILF	1	5	14912_1
