ancestor_isotype	node_isotype	switch_type	n_clones	clone_nrs	clones
IGHA1	IGHA2	sequential	2	1, 10	2197_1, 4252_1
IGHA2	IGHA1	reverse	2	1, 10	2197_1, 4252_1
IGHA1	IGHG1	reverse	1	5	2335_1
IGHA2	IGHM/D	reverse	1	1	4252_1
IGHG1	IGHA1	sequential	1	5	2335_1
IGHM/D	IGHA2	sequential	1	3	1854_1
IGHM/D	IGHG1	sequential	1	3	1854_1
