ancestor_isotype	node_isotype	switch_type	n_clones	clone_nrs	clones
IGHA2	IGHA1	reverse	3	1, 9, 10	2223_1, 2857_1, 4261_1
IGHA1	IGHA2	sequential	2	9, 10	2223_1, 2857_1
IGHA1	IGHG1	reverse	2	5, 19	2364_1, 6073_1
IGHA2	IGHM/D	reverse	2	1, 14	4261_1, 6696_1
IGHA1	IGHM/D	reverse	1	16	10068_1
IGHG1	IGHA1	sequential	1	5	2364_1
IGHM/D	IGHA2	sequential	1	3	1881_1
IGHM/D	IGHG1	sequential	1	3	1881_1
