"seq_unique","HH117-SI-MILF-nonINF","HH117-SILP-INF","HH117-SILP-nonINF"
"seq1",1,0,0
"seq2",1,0,0
"seq3",3,1,7
"seq4",1,0,0
"seq5",1,0,0
"seq6",0,1,0
"seq7",0,0,1
"seq8",0,0,1
