"seq_unique","Memory_Bcells","PCs"
"seq1",3,0
"seq10",1,0
"seq11",1,0
"seq12",1,0
"seq2",0,1
"seq3",1,0
"seq4",4,0
"seq5",3,0
"seq6",1,0
"seq7",1,0
"seq8",1,0
"seq9",1,0
