seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1:sequence_4,Memory_Bcells,IGHA1,HH119-SI-MILF,1,1,2
seq10,sequence_11,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-14,1,4,5
seq11,sequence_12,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-9,1,4,25
seq12,sequence_13,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-7,1,4,24
seq13,sequence_14:sequence_42,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-14:HH119-SI-PP_Fol-29,1,4,6
seq14,sequence_15,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-4,1,4,22
seq15,sequence_16,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-30,1,4,20
seq16,sequence_17,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-25,1,4,13
seq17,sequence_19,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-26,1,4,15
seq18,sequence_20,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-22,1,4,10
seq19,sequence_21,Memory_Bcells,IGHA1,HH119-SI-PP_Fol-28,1,1,17
seq2,sequence_2,Memory_Bcells,IGHM/D,HH119-SI-MILF,1,4,2
seq20,sequence_22,Memory_Bcells,IGHA2,HH119-SI-PP_Fol-29,1,2,18
seq21,sequence_23,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-26,1,4,15
seq22,sequence_25,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-25,1,4,13
seq23,sequence_26:sequence_28,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-25:HH119-SI-PP_Fol-24,1,4,14
seq24,sequence_27,Memory_Bcells,IGHA1,HH119-SI-PP_Fol-23,1,1,11
seq25,sequence_29,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-23,1,4,11
seq26,sequence_30,Memory_Bcells,IGHA2,HH119-SI-PP_Fol-29,1,2,18
seq27,sequence_31,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-24,1,4,12
seq28,sequence_32,Memory_Bcells,IGHA1,HH119-SI-PP_Fol-24,1,1,12
seq29,sequence_33,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-18,1,4,8
seq3,sequence_3,Memory_Bcells,IGHM/D,HH119-SI-MILF,1,4,2
seq30,sequence_34,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-28,1,4,17
seq31,sequence_35,Memory_Bcells,IGHA1,HH119-SI-PP_Fol-20,1,1,9
seq32,sequence_36,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-27,1,4,16
seq33,sequence_38,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-18,1,4,8
seq34,sequence_39,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-33,1,4,21
seq35,sequence_40,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-26,1,4,15
seq36,sequence_41,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-26,1,4,15
seq37,sequence_43:sequence_44:sequence_45,PCs,IGHA2:NA:IGHA1,HH119-SILP,2,3,1
seq38,sequence_46,Memory_Bcells,IGHA1,HH119-SI-PP_Fol-20,1,1,9
seq4,sequence_5,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-11,1,4,3
seq5,sequence_6:sequence_24,Memory_Bcells,IGHA1,HH119-SI-PP_Fol-13:HH119-SI-PP_Fol-30,1,1,4
seq6,sequence_7,Memory_Bcells,IGHA2,HH119-SI-PP_Fol-6,1,2,23
seq7,sequence_8,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-15,1,4,7
seq8,sequence_9:sequence_18:sequence_37,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-2:HH119-SI-PP_Fol-20:HH119-SI-PP_Fol-33,1,4,19
seq9,sequence_10,Memory_Bcells,IGHA1,HH119-SI-PP_Fol-11,1,1,3
