"seq_unique","PCs","Memory_B_cells"
"seq1",3,2
"seq10",1,1
"seq11",2,0
"seq2",0,2
"seq3",0,2
"seq4",0,1
"seq5",1,2
"seq6",0,2
"seq7",0,2
"seq8",0,3
"seq9",0,1
