seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1,Memory_B_cells,IGHG2,HH119-CO-SMILF,1,5,2
seq10,sequence_11:sequence_13:sequence_16,Memory_B_cells,IGHG2:NA,HH119-SI-MILF,1,8,6
seq11,sequence_14:sequence_20:sequence_25,PCs,IGHG2,HH119-SI-MILF:HH119-SI-PP_Fol-5:HH119-SILP,3,5,7
seq12,sequence_15,Memory_B_cells,IGHG2,HH119-SI-MILF,1,5,6
seq13,sequence_19:sequence_21,Memory_B_cells,IGHG2,HH119-SI-PP_Fol-8:HH119-SI-PP_Fol-9,1,5,9
seq14,sequence_22,Memory_B_cells,IGHG2,HH119-SI-PP_Fol-28,1,5,8
seq15,sequence_23,PCs,IGHG2,HH119-SI-PP_Fol-28,3,5,8
seq16,sequence_24,PCs,IGHA2,HH119-SILP,3,2,5
seq17,sequence_26,PCs,IGHG2,HH119-SILP,3,5,5
seq18,sequence_28,PCs,IGHG2,HH119-SILP,3,5,5
seq19,sequence_31,PCs,IGHA1,HH119-SILP,3,1,5
seq2,sequence_2:sequence_8,Memory_B_cells,IGHG1:IGHG2,HH119-CO-SMILF,1,4,2
seq20,sequence_32,PCs,IGHA2,HH119-SILP,3,2,5
seq21,sequence_33,PCs,IGHG2,HH119-SILP,3,5,5
seq22,sequence_34,PCs,IGHA1,HH119-SILP,3,1,5
seq23,sequence_35,PCs,IGHG2,HH119-SILP,3,5,5
seq3,sequence_3,Memory_B_cells,IGHG2,HH119-CO-SMILF,1,5,2
seq4,sequence_4,Memory_B_cells,IGHG2,HH119-CO-SMILF,1,5,2
seq5,sequence_5:sequence_12:sequence_17:sequence_18:sequence_29:sequence_30,Memory_B_cells:PCs,IGHG2:IGHA2,HH119-CO-SMILF:HH119-SI-MILF:HH119-SI-PP_Fol-15:HH119-SILP,2,7,4
seq6,sequence_6:sequence_27,Memory_B_cells:PCs,IGHG2:IGHA1,HH119-CO-SMILF:HH119-SILP,2,6,3
seq7,sequence_7,Memory_B_cells,IGHG2,HH119-CO-SMILF,1,5,2
seq8,sequence_9,PCs,IGHG2,HH119-COLP,3,5,1
seq9,sequence_10,Memory_B_cells,IGHG1,HH119-SI-MILF,1,3,6
