"seq_unique","HH117-SI-MILF-nonINF","HH117-SILP-INF","HH117-SILP-nonINF"
"seq1",2,0,0
"seq2",6,0,0
"seq3",1,0,0
"seq4",1,1,0
"seq5",4,1,1
