"seq_unique","IGHA2","IGHM/D","IGHA1","NA"
"seq1",1,0,0,0
"seq2",0,1,0,0
"seq3",0,2,0,0
"seq4",0,1,0,0
"seq5",0,0,2,0
"seq6",0,1,0,0
"seq7",0,1,0,0
"seq8",0,0,2,1
"seq9",0,1,0,0
