"seq_unique","Memory_Bcells","PCs"
"seq1",1,0
"seq10",0,2
"seq11",1,0
"seq12",2,0
"seq13",1,0
"seq14",0,1
"seq15",0,1
"seq16",0,1
"seq17",0,1
"seq18",0,1
"seq19",0,1
"seq2",2,0
"seq20",0,1
"seq21",0,1
"seq3",1,0
"seq4",1,0
"seq5",3,2
"seq6",1,1
"seq7",1,0
"seq8",1,0
"seq9",3,0
