"seq_unique","IGHA1","IGHA2","NA"
"seq1",1,0,0
"seq10",0,1,0
"seq11",1,0,0
"seq12",1,0,0
"seq13",2,1,1
"seq14",1,0,0
"seq2",0,1,0
"seq3",2,6,0
"seq4",1,0,0
"seq5",0,2,0
"seq6",1,1,1
"seq7",1,0,0
"seq8",0,1,0
"seq9",1,0,0
