seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1,Memory_Bcells,IGHG2,HH119-SI-MILF,1,4,2
seq10,sequence_12,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-12,1,4,6
seq11,sequence_13,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-11,1,4,5
seq12,sequence_14,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-4,1,4,11
seq13,sequence_17,Memory_Bcells,IGHA2,HH119-SI-PP_Fol-22,1,3,8
seq14,sequence_18,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-28,1,4,9
seq15,sequence_21,PCs,IGHG2,HH119-SILP,3,4,1
seq16,sequence_22:sequence_24:sequence_29,PCs,IGHA1:IGHG2,HH119-SILP,3,2,1
seq17,sequence_23,PCs,IGHA2,HH119-SILP,3,3,1
seq18,sequence_25:sequence_26:sequence_30:sequence_31:sequence_32,PCs,IGHG2,HH119-SILP,3,4,1
seq19,sequence_27,PCs,IGHG2,HH119-SILP,3,4,1
seq2,sequence_2:sequence_16,Memory_Bcells,IGHG2,HH119-SI-MILF:HH119-SI-PP_Fol-28,1,4,3
seq20,sequence_28,PCs,IGHA1,HH119-SILP,3,1,1
seq21,sequence_33,PCs,IGHG2,HH119-SILP,3,4,1
seq3,sequence_3:sequence_15,Memory_Bcells,IGHG2,HH119-SI-MILF:HH119-SI-PP_Fol-28,1,4,3
seq4,sequence_4,Memory_Bcells,IGHG2,HH119-SI-MILF,1,4,2
seq5,sequence_5:sequence_10:sequence_20,Memory_Bcells:PCs,IGHG2,HH119-SI-MILF:HH119-SI-PP_Fol-4:HH119-SILP,2,4,4
seq6,sequence_6,Memory_Bcells,IGHG2,HH119-SI-MILF,1,4,2
seq7,sequence_7,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-9,1,4,12
seq8,sequence_8:sequence_11,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-2:HH119-SI-PP_Fol-15,1,4,10
seq9,sequence_9:sequence_19,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-12:HH119-SI-PP_Fol-25,1,4,7
