"seq_unique","Memory_Bcells","PCs"
"seq1",1,0
"seq10",1,0
"seq11",1,0
"seq12",1,0
"seq13",1,0
"seq14",1,0
"seq15",0,1
"seq16",0,3
"seq17",0,1
"seq18",0,5
"seq19",0,1
"seq2",2,0
"seq20",0,1
"seq21",0,1
"seq3",2,0
"seq4",1,0
"seq5",2,1
"seq6",1,0
"seq7",1,0
"seq8",2,0
"seq9",2,0
