seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1,Memory_Bcells,IGHM/D,HH117-SI-MILF-nonINF,1,1,3
seq2,sequence_2,Memory_Bcells,IGHM/D,HH117-SI-MILF-nonINF,1,1,3
seq3,sequence_3:sequence_5:sequence_7:sequence_8:sequence_9:sequence_10:sequence_13:sequence_14:sequence_16:sequence_17:sequence_18,PCs:Memory_Bcells,IGHM/D,HH117-SI-MILF-nonINF:HH117-SILP-nonINF:HH117-SILP-INF,3,1,4
seq4,sequence_4,Memory_Bcells,IGHM/D,HH117-SI-MILF-nonINF,1,1,3
seq5,sequence_6,Memory_Bcells,IGHM/D,HH117-SI-MILF-nonINF,1,1,3
seq6,sequence_11,PCs,NA,HH117-SILP-INF,2,2,1
seq7,sequence_12,PCs,IGHM/D,HH117-SILP-nonINF,2,1,2
seq8,sequence_15,PCs,NA,HH117-SILP-nonINF,2,2,2
