seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1:sequence_14,Memory_Bcells,IGHG2,HH119-CO-SMILF:HH119-SI-MILF,1,4,4
seq10,sequence_12,Memory_Bcells,IGHM/D,HH119-SI-MILF,1,5,6
seq11,sequence_13:sequence_32:sequence_33,Memory_Bcells,IGHA1,HH119-SI-MILF:HH119-SI-PP_Fol-4:HH119-SI-PP_Fol-7,1,1,9
seq12,sequence_15:sequence_29:sequence_30:sequence_31,Memory_Bcells:PCs,IGHA2,HH119-SI-MILF:HH119-COLP,2,2,7
seq13,sequence_16,Memory_Bcells,IGHA2,HH119-SI-PP_Fol-7,1,2,17
seq14,sequence_17:sequence_20,Memory_Bcells,IGHM/D:IGHA2,HH119-SI-PP_Fol-7:HH119-SI-PP_Fol-12,1,6,18
seq15,sequence_18,Memory_Bcells,IGHA1,HH119-SI-PP_Fol-13,1,1,12
seq16,sequence_19,Memory_Bcells,IGHA2,HH119-SI-PP_Fol-10,1,2,10
seq17,sequence_21,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-23,1,4,13
seq18,sequence_22,Memory_Bcells,IGHA1,HH119-SI-PP_Fol-32,1,1,15
seq19,sequence_23,Memory_Bcells,IGHA2,HH119-SI-PP_Fol-29,1,2,14
seq2,sequence_2:sequence_25,Memory_Bcells:PCs,IGHA1,HH119-CO-SMILF:HH119-SILP,2,1,3
seq20,sequence_24,Memory_Bcells,IGHG1,HH119-SI-PP_Fol-11,1,3,11
seq21,sequence_26,PCs,IGHA2,HH119-SILP,3,2,5
seq22,sequence_28,PCs,IGHA2,HH119-COLP,3,2,1
seq23,sequence_34,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-4,1,4,16
seq3,sequence_3,Memory_Bcells,IGHA2,HH119-CO-SMILF,1,2,2
seq4,sequence_4,Memory_Bcells,IGHA2,HH119-CO-SMILF,1,2,2
seq5,sequence_5:sequence_7:sequence_8,Memory_Bcells,IGHM/D:IGHA2,HH119-CO-SMILF:HH119-SI-MILF,1,6,4
seq6,sequence_6,PCs,IGHA2,HH119-COLP,3,2,1
seq7,sequence_9,Memory_Bcells,IGHA2,HH119-SI-MILF,1,2,6
seq8,sequence_10:sequence_27:sequence_35,Memory_Bcells:PCs,IGHA2,HH119-SI-MILF:HH119-SILP,2,2,8
seq9,sequence_11,Memory_Bcells,IGHA1,HH119-SI-MILF,1,1,6
