seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1,Memory_Bcells,IGHA1,HH117-SI-MILF-nonINF,1,1,4
seq10,sequence_10,PCs,IGHA1,HH117-SI-PP-nonINF_Fol-18,2,1,7
seq11,sequence_11,PCs,NA,HH117-SILP-INF,2,5,1
seq12,sequence_12,PCs,NA,HH117-SILP-INF,2,5,1
seq13,sequence_13,PCs,IGHM/D,HH117-SILP-INF,2,4,1
seq14,sequence_14:sequence_15:sequence_17:sequence_29:sequence_32:sequence_33:sequence_34:sequence_43,PCs,IGHA1:NA,HH117-SILP-INF:HH117-SILP-nonINF,2,2,2
seq15,sequence_16:sequence_25,PCs,IGHA1:NA,HH117-SILP-INF:HH117-SILP-nonINF,2,2,2
seq16,sequence_18,PCs,NA,HH117-SILP-INF,2,5,1
seq17,sequence_19,PCs,IGHA1,HH117-SILP-INF,2,1,1
seq18,sequence_20:sequence_23,PCs,IGHA1,HH117-SILP-nonINF,2,1,3
seq19,sequence_21,PCs,NA,HH117-SILP-nonINF,2,5,3
seq2,sequence_2,Memory_Bcells,NA,HH117-SI-MILF-nonINF,1,5,4
seq20,sequence_22,PCs,IGHA1,HH117-SILP-nonINF,2,1,3
seq21,sequence_24,PCs,IGHA1,HH117-SILP-nonINF,2,1,3
seq22,sequence_26:sequence_30:sequence_41:sequence_45,PCs,NA:IGHA1,HH117-SILP-nonINF,2,6,3
seq23,sequence_27,PCs,NA,HH117-SILP-nonINF,2,5,3
seq24,sequence_28,PCs,IGHA1,HH117-SILP-nonINF,2,1,3
seq25,sequence_31,Memory_Bcells,IGHA1,HH117-SI-PP-nonINF_Fol-3,1,1,8
seq26,sequence_35,PCs,IGHA1,HH117-SILP-INF,2,1,1
seq27,sequence_36,PCs,IGHA1,HH117-SILP-INF,2,1,1
seq28,sequence_37,PCs,IGHA1,HH117-SILP-INF,2,1,1
seq29,sequence_38,PCs,NA,HH117-SILP-INF,2,5,1
seq3,sequence_3,PCs,IGHA1,HH117-SI-MILF-nonINF,2,1,4
seq30,sequence_40,PCs,IGHA2,HH117-SILP-nonINF,2,3,3
seq31,sequence_42,PCs,IGHA1,HH117-SILP-nonINF,2,1,3
seq32,sequence_46,PCs,IGHA1,HH117-SILP-nonINF,2,1,3
seq33,sequence_47,PCs,NA,HH117-SILP-nonINF,2,5,3
seq4,sequence_4,Memory_Bcells,IGHA1,HH117-SI-MILF-nonINF,1,1,4
seq5,sequence_5,Memory_Bcells,NA,HH117-SI-MILF-nonINF,1,5,4
seq6,sequence_6,PCs,IGHA1,HH117-SI-MILF-nonINF,2,1,4
seq7,sequence_7:sequence_39:sequence_44,PCs,IGHA1,HH117-SI-MILF-nonINF:HH117-SILP-INF:HH117-SILP-nonINF,2,1,5
seq8,sequence_8,PCs,IGHA1,HH117-SI-PP-nonINF_Fol-5,2,1,9
seq9,sequence_9,Memory_Bcells,IGHA1,HH117-SI-PP-nonINF_Fol-13,1,1,6
