seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1,Memory_Bcells,IGHM/D,HH119-CO-SMILF,1,1,1
seq10,sequence_10,Memory_Bcells,IGHM/D,HH119-SI-MILF,1,1,2
seq11,sequence_11:sequence_31,Memory_Bcells,IGHM/D,HH119-SI-MILF:HH119-SI-PP_Fol-21,1,1,4
seq12,sequence_12,Memory_Bcells,IGHM/D,HH119-SI-MILF,1,1,2
seq13,sequence_13:sequence_15:sequence_16:sequence_22:sequence_32:sequence_33:sequence_38:sequence_41:sequence_46:sequence_47,Memory_Bcells,IGHM/D,HH119-SI-MILF:HH119-SI-PP_Fol-2:HH119-SI-PP_Fol-14:HH119-SI-PP_Fol-9:HH119-SI-PP_Fol-27:HH119-SI-PP_Fol-18:HH119-SI-PP_Fol-24:HH119-SI-PP_Fol-33:HH119-SI-PP_Fol-34,1,1,6
seq14,sequence_17:sequence_21:sequence_40,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-11:HH119-SI-PP_Fol-9:HH119-SI-PP_Fol-30,1,1,8
seq15,sequence_18,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-9,1,1,19
seq16,sequence_19:sequence_24:sequence_29:sequence_37,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-14:HH119-SI-PP_Fol-9:HH119-SI-PP_Fol-34:HH119-SI-PP_Fol-24,1,1,9
seq17,sequence_20,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-7,1,1,18
seq18,sequence_23,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-7,1,1,18
seq19,sequence_27,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-9,1,1,19
seq2,sequence_2,Memory_Bcells,IGHM/D,HH119-SI-MILF,1,1,2
seq20,sequence_28,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-1,1,1,7
seq21,sequence_30,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-27,1,1,14
seq22,sequence_34,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-32,1,1,17
seq23,sequence_35,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-22,1,1,11
seq24,sequence_36,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-24,1,1,13
seq25,sequence_42,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-27,1,1,14
seq26,sequence_43,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-19,1,1,10
seq27,sequence_44,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-29,1,1,16
seq28,sequence_45,PCs,IGHM/D,HH119-SI-PP_Fol-28,2,1,15
seq29,sequence_48,Memory_Bcells,IGHM/D,HH119-SI-PP_Fol-23,1,1,12
seq3,sequence_3:sequence_25,Memory_Bcells,IGHM/D,HH119-SI-MILF:HH119-SI-PP_Fol-12,1,1,3
seq4,sequence_4,Memory_Bcells,IGHM/D,HH119-SI-MILF,1,1,2
seq5,sequence_5,Memory_Bcells,IGHM/D,HH119-SI-MILF,1,1,2
seq6,sequence_6:sequence_14:sequence_39,Memory_Bcells,IGHM/D,HH119-SI-MILF:HH119-SI-PP_Fol-27,1,1,5
seq7,sequence_7,Memory_Bcells,IGHM/D,HH119-SI-MILF,1,1,2
seq8,sequence_8,Memory_Bcells,IGHM/D,HH119-SI-MILF,1,1,2
seq9,sequence_9:sequence_26,Memory_Bcells,IGHM/D,HH119-SI-MILF:HH119-SI-PP_Fol-12,1,1,3
