"seq_unique","IGHA1","IGHA2","IGHG2"
"seq1",1,4,0
"seq10",0,2,0
"seq11",0,0,2
"seq2",0,2,0
"seq3",0,2,0
"seq4",0,1,0
"seq5",0,3,0
"seq6",0,2,0
"seq7",1,0,1
"seq8",0,3,0
"seq9",0,1,0
