seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1,Memory_Bcells,IGHG2,HH119-CO-SMILF,2,4,2
seq10,sequence_13:sequence_31,Memory_Bcells:PCs,IGHG2,HH119-SI-MILF:HH119-SILP,3,4,5
seq11,sequence_14,PCs,IGHG2,HH119-SI-MILF,4,4,4
seq12,sequence_15,Memory_Bcells,IGHG4,HH119-SI-MILF,2,6,4
seq13,sequence_16:sequence_17:sequence_19:sequence_26:sequence_32:sequence_52,GC_B_cells:PCs,IGHG2:IGHA2,HH119-SI-PP_Fol-7:HH119-SI-PP_Fol-12:HH119-SILP,1,5,13
seq14,sequence_18,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-12,2,4,8
seq15,sequence_20,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-10,2,4,7
seq16,sequence_21,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-7,2,4,12
seq17,sequence_22:sequence_23,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-29:HH119-SI-PP_Fol-27,2,4,11
seq18,sequence_25,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-26,2,4,10
seq19,sequence_27,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-22,2,4,9
seq2,sequence_2:sequence_4,Memory_Bcells,IGHG2,HH119-CO-SMILF,2,4,2
seq20,sequence_30,PCs,IGHG2,HH119-SILP,4,4,3
seq21,sequence_33,PCs,IGHG2,HH119-SILP,4,4,3
seq22,sequence_35:sequence_37:sequence_38:sequence_48,PCs,IGHG2,HH119-SILP,4,4,3
seq23,sequence_36,PCs,IGHA1,HH119-SILP,4,1,3
seq24,sequence_39,PCs,IGHA1,HH119-SILP,4,1,3
seq25,sequence_40,PCs,IGHA1,HH119-SILP,4,1,3
seq26,sequence_44,PCs,IGHG2,HH119-SILP,4,4,3
seq27,sequence_45,PCs,IGHG2,HH119-SILP,4,4,3
seq28,sequence_47,PCs,IGHG2,HH119-SILP,4,4,3
seq3,sequence_3,Memory_Bcells,IGHG2,HH119-CO-SMILF,2,4,2
seq4,sequence_5:sequence_6:sequence_10:sequence_28:sequence_29:sequence_34:sequence_41:sequence_42:sequence_43:sequence_46:sequence_49:sequence_50,PCs,IGHA2:IGHA1,HH119-COLP:HH119-SI-MILF:HH119-SILP,4,3,1
seq5,sequence_7:sequence_51,PCs,IGHA2,HH119-SI-MILF:HH119-SILP,4,2,5
seq6,sequence_8,Memory_Bcells,IGHG2,HH119-SI-MILF,2,4,4
seq7,sequence_9,Memory_Bcells,IGHG2,HH119-SI-MILF,2,4,4
seq8,sequence_11:sequence_24,PCs:Memory_Bcells,IGHG2,HH119-SI-MILF:HH119-SI-PP_Fol-28,5,4,6
seq9,sequence_12,Memory_Bcells,IGHG2,HH119-SI-MILF,2,4,4
