"seq_unique","Memory_Bcells","PCs"
"seq1",2,3
"seq10",1,1
"seq11",0,2
"seq2",2,0
"seq3",2,0
"seq4",1,0
"seq5",2,1
"seq6",2,0
"seq7",2,0
"seq8",3,0
"seq9",1,0
