"seq_unique","PCs","Memory_B_cells"
"seq1",4,1
"seq10",0,1
"seq11",0,1
"seq12",1,0
"seq2",0,2
"seq3",0,1
"seq4",0,2
"seq5",0,3
"seq6",0,1
"seq7",0,1
"seq8",0,2
"seq9",1,1
