"seq_unique","GC_B_cells","PCs"
"seq1",1,0
"seq10",1,0
"seq11",1,0
"seq12",1,0
"seq13",1,0
"seq14",0,2
"seq2",2,0
"seq3",1,0
"seq4",1,0
"seq5",1,0
"seq6",1,0
"seq7",1,0
"seq8",2,0
"seq9",1,0
