"seq_unique","HH117-SI-PP-nonINF_Fol-18","HH117-SI-PP-nonINF_Fol-5"
"seq1",1,3
"seq10",0,1
"seq11",0,1
"seq12",0,1
"seq13",0,1
"seq14",0,1
"seq15",0,1
"seq16",0,1
"seq2",0,1
"seq3",0,2
"seq4",0,2
"seq5",0,1
"seq6",0,1
"seq7",0,1
"seq8",0,1
"seq9",0,1
