"seq_unique","HH119-SI-PP_Fol-13","HH119-SI-PP_Fol-11"
"seq1",19,0
"seq10",1,0
"seq11",1,0
"seq12",1,0
"seq13",1,0
"seq14",1,0
"seq15",1,0
"seq16",1,0
"seq17",1,0
"seq18",1,0
"seq2",3,0
"seq3",0,2
"seq4",1,0
"seq5",1,0
"seq6",3,0
"seq7",1,0
"seq8",1,0
"seq9",1,0
