"seq_unique","HH119-SI-PP_Fol-29","HH119-SI-PP_Fol-32"
"seq1",22,1
"seq2",1,0
"seq3",1,0
"seq4",1,0
"seq5",1,0
"seq6",1,0
"seq7",1,0
"seq8",1,0
