"seq_unique","HH119-SI-PP_Fol-1","HH119-SI-PP_Fol-18","HH119-SI-PP_Fol-33","HH119-SI-PP_Fol-26","HH119-COLP","HH119-SILP","HH119-SI-PP_Fol-6","HH119-SI-MILF","HH119-SI-PP_Fol-4","HH119-SI-PP_Fol-10","HH119-SI-PP_Fol-29","HH119-SI-PP_Fol-28","HH119-SI-PP_Fol-11","HH119-SI-PP_Fol-2","HH119-SI-PP_Fol-22","HH119-SI-PP_Fol-32","HH119-SI-PP_Fol-34","HH119-CO-SMILF","HH119-SI-PP_Fol-9"
"seq26",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq27",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"seq28",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq29",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"seq3",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq30",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"seq31",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"seq32",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"seq33",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"seq34",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"seq35",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"seq36",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"seq37",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"seq38",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"seq39",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"seq4",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"seq40",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"seq41",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"seq42",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"seq43",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"seq44",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq45",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq46",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq47",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq48",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq49",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"seq50",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"seq52",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq53",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq54",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"seq56",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq57",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq58",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq59",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"seq60",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq61",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"seq62",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq63",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq64",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"seq66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"seq67",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq68",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"seq7",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq8",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq9",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
