"seq_unique","HH117-SI-PP-nonINF_Fol-8","HH117-SI-PP-nonINF_Fol-7","HH117-SI-PP-nonINF_Fol-12","HH117-SI-PP-nonINF_Fol-17"
"seq1",1,0,0,0
"seq10",0,1,0,0
"seq11",0,0,1,0
"seq12",0,0,1,0
"seq2",0,1,0,0
"seq3",0,2,0,0
"seq4",1,0,0,0
"seq5",0,0,0,1
"seq6",0,1,0,0
"seq7",1,0,0,0
"seq8",1,0,0,0
"seq9",1,0,0,0
