"seq_unique","IGHA2","NA"
"seq1",1,0
"seq10",1,0
"seq2",1,0
"seq3",4,0
"seq4",1,0
"seq5",2,0
"seq6",1,0
"seq7",0,1
"seq8",2,0
"seq9",0,1
