"seq_unique","HH117-SI-PP-nonINF_Fol-9","HH117-SI-PP-nonINF_Fol-5","HH117-SI-PP-nonINF_Fol-4","HH117-SI-PP-nonINF_Fol-8"
"seq1",1,0,0,0
"seq2",0,1,0,0
"seq3",1,0,0,0
"seq4",0,0,1,0
"seq5",0,1,0,0
"seq6",0,1,0,0
"seq7",0,1,0,0
"seq8",0,0,0,1
