"seq_unique","HH117-SI-PP-nonINF_Fol-3","HH117-SI-PP-nonINF_Fol-17","HH117-SI-PP-nonINF_Fol-10"
"seq1",2,0,0
"seq2",2,0,0
"seq3",0,1,0
"seq4",1,0,0
"seq5",0,0,1
"seq6",1,0,0
"seq7",1,0,0
