"seq_unique","HH117-SI-PP-nonINF_Fol-5","HH117-SI-PP-nonINF_Fol-14","HH117-SI-PP-nonINF_Fol-8","HH117-SI-PP-nonINF_Fol-10"
"seq1",1,0,0,0
"seq10",1,0,0,0
"seq11",1,0,0,0
"seq12",1,0,0,0
"seq13",1,0,0,0
"seq14",1,0,0,0
"seq15",1,0,0,0
"seq16",1,0,0,0
"seq17",1,0,0,0
"seq18",1,0,0,0
"seq19",1,0,0,0
"seq2",5,1,0,0
"seq20",1,0,0,0
"seq21",0,0,1,0
"seq3",1,0,0,0
"seq4",1,0,0,0
"seq5",1,0,0,0
"seq6",0,1,0,0
"seq7",1,0,0,0
"seq8",0,0,0,1
"seq9",1,0,0,0
